date,open,high,low,close,volume,spread
2022-12-20,8787.6,8801.1,8765.6,8793.5,86400.0,1
2022-12-21,8793.6,8811.2,8777.2,8802.2,86392.0,1
2022-12-22,8802.1,8838.3,8789.0,8834.2,86400.0,1
2022-12-23,8834.3,8848.2,8805.1,8808.3,86394.0,1
2022-12-24,8808.4,8820.4,8764.4,8770.5,86400.0,1
2022-12-25,8770.6,8809.5,8767.9,8772.3,86400.0,1
2022-12-26,8772.4,8793.7,8765.4,8792.1,86400.0,1
2022-12-27,8792.0,8840.0,8785.1,8812.7,86400.0,1
2022-12-28,8812.6,8860.5,8807.1,8853.9,86400.0,1
2022-12-29,8853.8,8857.6,8826.9,8842.1,86400.0,1
2022-12-30,8842.2,8891.6,8839.5,8874.9,86400.0,1
2022-12-31,8875.0,8875.6,8823.5,8848.1,86400.0,1
2023-01-01,8848.0,8851.9,8816.8,8834.1,86400.0,1
2023-01-02,8834.2,8883.0,8812.4,8879.0,86396.0,1
2023-01-03,8878.9,8927.6,8877.6,8927.0,86400.0,1
2023-01-04,8926.9,8928.4,8886.9,8896.7,85604.0,1
2023-01-05,8896.8,8911.8,8885.0,8898.7,86400.0,1
2023-01-06,8898.8,8919.5,8868.7,8918.4,86398.0,1
2023-01-07,8918.3,8958.7,8913.6,8956.1,86399.0,1
2023-01-08,8956.2,8964.9,8919.9,8923.5,86400.0,1
2023-01-09,8923.4,8943.6,8911.1,8911.9,86400.0,1
2023-01-10,8912.0,8935.7,8898.3,8913.7,86391.0,1
2023-01-11,8913.6,8915.8,8865.4,8871.4,86388.0,1
2023-01-12,8871.5,8882.2,8832.8,8854.4,86400.0,1
2023-01-13,8854.5,8929.8,8851.8,8920.6,86400.0,1
2023-01-14,8920.7,8927.8,8890.0,8907.0,86400.0,1
2023-01-15,8907.1,8919.1,8883.6,8884.6,86391.0,1
2023-01-16,8884.7,8899.8,8860.8,8878.0,86400.0,1
2023-01-17,8877.9,8899.8,8871.2,8895.3,86388.0,1
2023-01-18,8895.2,8912.7,8881.8,8887.3,86400.0,1
2023-01-19,8887.2,8895.2,8862.8,8878.5,86400.0,1
2023-01-20,8878.6,8894.9,8859.2,8889.1,86400.0,1
2023-01-21,8889.0,8920.5,8878.9,8889.1,86400.0,1
2023-01-22,8889.2,8929.2,8859.0,8916.7,86400.0,1
2023-01-23,8916.6,8957.1,8882.1,8887.9,86400.0,1
2023-01-24,8888.0,8948.6,8886.5,8936.9,86400.0,1
2023-01-25,8936.8,8949.3,8911.6,8912.7,86400.0,1
2023-01-26,8912.8,8933.0,8886.5,8891.9,86400.0,1
2023-01-27,8891.8,8928.0,8874.0,8917.7,86400.0,1
2023-01-28,8917.8,8919.8,8876.0,8904.9,86400.0,1
2023-01-29,8905.0,8945.1,8891.3,8899.3,86400.0,1
2023-01-30,8899.4,8973.4,8887.1,8949.4,86395.0,1
2023-01-31,8949.5,8958.5,8916.2,8934.8,86400.0,1
2023-02-01,8934.7,8941.0,8905.3,8931.6,86400.0,1
2023-02-02,8931.5,8941.1,8906.4,8932.4,86400.0,1
2023-02-03,8932.3,8960.0,8906.3,8917.8,86360.0,1
2023-02-04,8917.7,8942.5,8901.8,8907.4,86400.0,1
2023-02-05,8907.5,8929.2,8890.3,8919.6,86400.0,1
2023-02-06,8919.7,8959.6,8900.4,8950.8,86370.0,1
2023-02-07,8950.9,8954.5,8902.4,8915.0,86400.0,1
2023-02-08,8914.9,8936.7,8884.7,8899.4,86400.0,1
2023-02-09,8899.5,8912.7,8878.1,8900.4,86384.0,1
2023-02-10,8900.5,8905.2,8860.0,8883.0,86400.0,1
2023-02-11,8883.1,8888.5,8832.5,8847.8,86400.0,1
2023-02-12,8847.7,8882.6,8840.6,8873.0,86386.0,1
2023-02-13,8872.9,8881.9,8824.3,8825.3,86389.0,1
2023-02-14,8825.2,8859.3,8820.5,8849.9,86361.0,1
2023-02-15,8849.8,8858.1,8818.6,8819.3,86398.0,1
2023-02-16,8819.4,8869.2,8805.3,8866.3,86385.0,1
2023-02-17,8866.4,8875.8,8826.5,8826.9,86400.0,1
2023-02-18,8826.8,8828.0,8780.1,8805.7,86400.0,1
2023-02-19,8805.6,8806.7,8740.7,8745.5,86355.0,1
2023-02-20,8745.6,8810.2,8722.5,8794.1,86387.0,1
2023-02-21,8794.0,8794.0,8762.7,8778.3,86400.0,1
2023-02-22,8778.2,8778.8,8745.1,8763.3,86395.0,1
2023-02-23,8763.4,8769.5,8738.6,8761.9,85565.0,1
2023-02-24,8762.0,8797.1,8760.2,8768.7,86398.0,1
2023-02-25,8768.8,8809.1,8763.4,8804.3,86400.0,1
2023-02-26,8804.4,8811.2,8778.1,8781.9,86400.0,1
2023-02-27,8781.8,8783.7,8748.6,8766.5,86400.0,1
2023-02-28,8766.6,8808.6,8759.5,8786.0,86395.0,1
2023-03-01,8786.1,8795.7,8769.5,8776.4,86400.0,1
2023-03-02,8776.3,8820.4,8754.8,8815.2,86398.0,1
2023-03-03,8815.1,8830.1,8755.3,8767.0,86398.0,1
2023-03-04,8766.9,8797.3,8750.1,8774.8,86400.0,1
2023-03-05,8774.9,8792.7,8737.8,8739.0,86400.0,1
2023-03-06,8738.9,8743.7,8693.4,8708.2,86398.0,1
2023-03-07,8708.3,8713.2,8678.3,8694.3,86391.0,1
2023-03-08,8694.2,8699.5,8650.4,8650.5,86392.0,1
2023-03-09,8650.6,8668.1,8565.7,8567.1,86400.0,1
2023-03-10,8567.2,8591.9,8557.8,8586.3,86400.0,1
2023-03-11,8586.2,8623.0,8583.3,8615.3,86400.0,1
2023-03-12,8615.4,8628.1,8576.9,8619.7,86392.0,1
2023-03-13,8619.6,8642.5,8595.5,8596.3,86400.0,1
2023-03-14,8596.4,8644.3,8595.6,8633.5,86400.0,1
2023-03-15,8633.6,8661.0,8621.4,8655.9,85892.0,1
2023-03-16,8656.0,8688.1,8649.9,8688.0,86396.0,1
2023-03-17,8687.9,8714.6,8676.7,8684.8,86400.0,1
2023-03-18,8684.9,8733.9,8681.2,8730.6,86400.0,1
2023-03-19,8730.7,8746.7,8702.5,8730.2,86400.0,1
2023-03-20,8730.3,8788.6,8727.6,8766.6,86400.0,1
2023-03-21,8766.7,8783.7,8716.7,8719.0,86149.0,1
2023-03-22,8719.1,8730.9,8677.3,8677.9,86180.0,1
2023-03-23,8677.8,8710.5,8670.3,8686.5,86400.0,1
2023-03-24,8686.4,8704.5,8642.6,8687.4,86393.0,1
2023-03-25,8687.5,8710.3,8678.2,8692.4,86400.0,1
2023-03-26,8692.5,8698.5,8667.6,8697.6,86400.0,1
2023-03-27,8697.5,8701.9,8642.9,8653.6,86388.0,1
2023-03-28,8653.7,8654.3,8621.4,8621.4,86400.0,1
2023-03-29,8621.3,8673.8,8614.8,8659.6,86400.0,1
2023-03-30,8659.7,8684.4,8639.0,8647.0,86393.0,1
2023-03-31,8647.1,8679.6,8625.6,8668.6,86400.0,1
2023-04-01,8668.7,8669.2,8617.1,8642.2,86400.0,1
2023-04-02,8642.3,8670.0,8628.9,8634.6,86395.0,1
2023-04-03,8634.7,8639.1,8579.5,8588.2,86400.0,1
2023-04-04,8588.3,8624.7,8581.9,8610.2,86400.0,1
2023-04-05,8610.3,8630.3,8596.5,8623.4,86400.0,1
2023-04-06,8623.3,8625.9,8585.5,8601.6,86400.0,1
2023-04-07,8601.5,8612.8,8582.0,8609.1,86389.0,1
2023-04-08,8609.2,8672.2,8608.6,8656.1,86395.0,1
2023-04-09,8656.0,8699.4,8644.7,8698.5,86392.0,1
2023-04-10,8698.4,8742.5,8696.5,8712.7,86400.0,1
2023-04-11,8712.6,8736.2,8684.5,8710.3,86400.0,1
2023-04-12,8710.4,8768.3,8706.3,8763.9,86400.0,1
2023-04-13,8764.0,8791.6,8756.0,8789.3,86400.0,1
2023-04-14,8789.4,8812.8,8768.3,8780.4,86397.0,1
2023-04-15,8780.3,8801.4,8770.2,8772.8,86400.0,1
2023-04-16,8772.7,8835.1,8765.9,8829.8,86164.0,1
2023-04-17,8829.7,8844.2,8814.1,8821.8,86400.0,1
2023-04-18,8821.7,8853.4,8812.0,8832.8,86392.0,1
2023-04-19,8832.9,8837.9,8807.8,8811.6,86381.0,1
2023-04-20,8811.7,8831.0,8782.8,8820.8,86400.0,1
2023-04-21,8820.9,8829.9,8803.1,8822.6,86400.0,1
2023-04-22,8822.7,8867.6,8822.4,8851.6,86395.0,1
2023-04-23,8851.5,8861.5,8821.8,8850.0,86400.0,1
2023-04-24,8850.1,8857.3,8830.2,8838.2,86400.0,1
2023-04-25,8838.1,8865.4,8831.0,8861.1,85237.0,1
